,French,English
16408,blanche,white
16409,majesté,majesty
16410,rencontre,encounter
16411,toucher,to touch
16412,ange,angel
16413,refuse,denied
16414,charge,charge
16415,billy,billy
16416,chevaux,horses
16417,v,V
16418,chiens,dogs
16419,empêcher,to prevent
16420,dure,hard
16421,zone,area
16422,faits,facts
16423,animaux,animals
16424,meilleurs,best
16425,plupart,mostly
16426,emmène,take
16427,étions,were
16428,politique,policy
16429,chaussures,shoes
16430,langue,language
16431,mangé,eat
16432,douleur,pain
16433,planète,planet
16434,offrir,to offer
16435,règles,rules
16436,drogue,dope
16437,réalité,reality
16438,bus,bus
16439,enfoiré,Motherfucker
16440,dirais,would say
16441,permis,permit
16442,vécu,lived
16443,chapeau,hat
16444,île,island
16445,réunion,meeting
16446,soient,be
16447,contraire,opposite
16448,tony,tony
16449,mettez,put
16450,nick,nick
16451,arrivera,to arrive at
16452,excuser,excuse
16453,code,coded
16454,couleur,color
16455,rapide,fast
16456,raconte,recount
16457,papier,paper
16458,discuter,discuss
16459,opération,operation
16460,cartes,cards
16461,nourriture,food
16462,entier,entire
16463,nécessaire,necessary
16464,frais,costs
16465,toilettes,bathroom
16466,spécial,special
16467,vaisseau,vessel
16468,action,stock
16469,princesse,princess
16470,magasin,store
16471,copain,boyfriend
16472,sache,beam
16473,bu,drank
16474,steve,steve
16475,découvert,discovered
16476,pain,bread
16477,mignon,cute
16478,taille,size
16479,sacré,sacred
16480,rends,renders
16481,eddie,Eddie
16482,double,double
16483,viendra,will come
16484,imbécile,imbecile
16485,essaye,tried
16486,champ,field
16487,personnel,staff
16488,client,customer
16489,lait,milk
16490,contrat,CONTRACT
16491,partis,gone
16492,sexe,sex
16493,mienne,mine
16494,repas,meal
16495,mémoire,memory
16496,destin,fate
16497,direction,direction
16498,dors,sleep
16499,faite,done
16500,pleurer,cry
16501,couteau,knife
16502,malin,clever
16503,remettre,to put back
16504,ray,ray
16505,témoin,witness
16506,restes,remains
16507,mètres,meters
16508,trésor,treasure
16509,gosses,kids
16510,aiment,like
16511,washington,Washington
16512,habite,reside
16513,foi,faith
16514,puisque,since
16515,apporté,brought
16516,solution,solution
16517,trouvez,Find
16518,nouveaux,new
16519,réfléchir,to reflect on
16520,choisir,choose
16521,goût,taste
16522,remercie,thanks
16523,détruire,destroy
16524,université,university
16525,doux,soft
16526,beaux,beautiful
16527,raconter,to tell about
16528,vitesse,speed
16529,menti,lies
16530,três,very
16531,procès,trial
16532,enceinte,pregnant
16533,amuser,entertain
16534,niveau,level
16535,vus,sewing
16536,miss,miss
16537,fermer,close
16538,arranger,arrange
16539,end,ending
16540,clients,clients
16541,rappeler,recall
16542,Alex,Alex
16543,failli,falling
16544,arbre,TREE
16545,papiers,papers
16546,Sarah,Sarah
16547,mérite,deserved
16548,différence,difference
16549,travaillé,work
16550,disons,let's say
16551,bleu,blue
16552,dise,say
16553,aimait,loved
16554,appelles,calls
16555,espace,space
16556,caméra,camera
16557,censé,supposed
16558,qu,that
16559,piste,track
16560,sourire,smile
16561,courir,run
16562,accepter,accept
16563,retrouvé,found
16564,charles,Charles
16565,jambe,leg
16566,angleterre,England
16567,quels,what
16568,préparer,prepare
16569,marre,fed up
16570,forces,strengths
16571,tirez,PULL
16572,énorme,enormous
16573,Danny,Danny
16574,trés,very
16575,invité,guest
16576,rentré,go home
16577,officier,officer
16578,pièces,pieces
16579,lettres,letters
16580,file,line
16581,programme,program
16582,tommy,tommy
16583,arrêt,stop
16584,fout,cum
16585,balles,bullets
16586,flingue,gun
16587,chasse,chase
16588,regrette,regret
16589,to,to
16590,propres,clean
16591,victime,victim
16592,appartient,belongs
16593,france,France
16594,unique,unique
16595,régler,adjust
16596,moindre,lesser
16597,compter,count
16598,voitures,cars
16599,énergie,energy
16600,fil,thread
16601,lycée,high school
16602,crise,crisis
16603,stop,stop
16604,image,picture
16605,vérifier,check
16606,dimanche,Sunday
16607,appareil,device
16608,justement,exactly
16609,richard,richard
16610,noms,nouns
16611,million,million
16612,cassé,broken
16613,enlever,to remove
16614,clés,keys
16615,noire,black
16616,man,man
16617,dépend,depends
16618,derniers,last
16619,doigts,fingers
16620,réponds,answer
16621,honnête,honest
16622,prouver,prove
16623,preuves,evidence
16624,durant,during
16625,souris,mouse
16626,entendez,hear
16627,lever,lift
16628,oiseau,bird
16629,belles,beautiful
16630,oû,Or
16631,apporte,brought
16632,grandes,large
16633,morceau,piece
16634,bobby,bobby
16635,bougez,move
16636,amène,bring
16637,interdit,forbidden
16638,présence,presence
16639,récupérer,retrieve
16640,quelles,what
16641,manqué,lack
16642,cou,neck
16643,venait,came
16644,étage,stage
16645,regard,glance
16646,bouger,to move
16647,finalement,Ultimately
16648,couper,cut
16649,urgence,emergency
16650,perds,losers
16651,points,points
16652,meurt,dies
16653,partons,Let's start
16654,troisième,third
16655,savons,soaps
16656,folie,madness
16657,ancien,ancient
16658,chante,sung
16659,obtenir,get
16660,répète,say again
16661,toit,roof
16662,humains,humans
16663,robert,Robert
16664,jardin,garden
16665,métier,job
16666,poche,poached
16667,méchant,bad
16668,paradis,heaven
16669,proche,close
16670,rejoindre,join
16671,lors,during
16672,nombre,number
16673,crains,fearful
16674,règle,rule
16675,frapper,to hit
16676,intention,intention
16677,succès,hit
16678,forte,strong
16679,gentille,kind
16680,campagne,campaign
16681,raisons,reasons
16682,malgré,despite
16683,alcool,alcohol
16684,regardé,look at
16685,jerry,jerry
16686,billets,tickets
16687,fantastique,fantastic
16688,lee,lee
16689,théâtre,theater
16690,vôtre,your
16691,samedi,SATURDAY
16692,pluie,rain
16693,fermé,farm
16694,relation,relationship
16695,frappé,struck
16696,restaurant,restaurant
16697,douce,gentle
16698,maladie,disease
16699,parlait,was talking
16700,raté,missed
16701,casse,broken
16702,dessous,underneath
16703,pourrai,could
16704,victoire,victoire
16705,voudrait,would like
16706,remarqué,REMARK
16707,assurer,ensure
16708,pleure,cry
16709,bouteille,bottle
16710,gare,station
16711,carrière,career
16712,sentiments,feelings
16713,suivi,follow up
16714,vies,lives
16715,fiston,son
16716,vendu,sold
16717,attendant,waiting
16718,pourras,can
16719,amoureuse,in love
16720,mens,mens
16721,falloir,to need
16722,chinois,Chinese
16723,étranger,foreign
16724,appelait,called
16725,assure,assured
16726,étant,being
16727,queue,tail
16728,odeur,smell
16729,enlève,remove
16730,produit,product
16731,meurs,die
16732,secrets,secrets
16733,pression,pressure
16734,fatigué,fatigue
16735,aies,aies
16736,plage,beach
16737,okay,Okay
16738,animal,animal
16739,frappe,struck
16740,montagne,mountain
16741,coffre,chest
16742,passage,passage
16743,suivant,following
16744,signal,signal
16745,discours,speech
16746,cents,cents
16747,claire,clear
16748,g,g
16749,rivière,river
16750,costume,suit
16751,prendra,will take
16752,souhaite,wish
16753,hasard,chance
16754,journaux,newspapers
16755,aveugle,blind
16756,lis,read
16757,demandez,Ask
16758,retraite,retirement
16759,afin,in order to
16760,vendredi,Friday
16761,van,van
16762,auraient,would have
16763,obligé,obligatory
16764,major,major
16765,neige,snow
16766,remercier,thank
16767,fusil,gun
16768,gardes,guards
16769,faible,weak
16770,pauvres,poor
16771,noirs,black
16772,gâteau,cake
16773,cesse,stop
16774,parfaitement,perfectly
16775,excuses,apologize
16776,viande,meat
16777,ministre,minister
16778,univers,universe
16779,vienne,Vienna
16780,utile,useful
16781,demandais,asked
16782,crétin,dumbass
16783,gaffe,blunder
16784,cache,hidden
16785,disant,saying
16786,décider,decide
16787,dort,sleep
16788,gaz,gas
16789,blancs,whites
16790,connaissance,awareness
16791,vouliez,wanted
16792,jake,jake
16793,vidéo,video
16794,bataille,battle
16795,vive,long -lived
16796,anna,Anna
16797,martin,Martin
16798,iui,Iui
16799,os,bone
16800,entend,hears
16801,jeux,games
16802,will,will
16803,verras,will see
16804,date,date
16805,échapper,escape
16806,naissance,birth
16807,droits,rights
16808,assassin,assassin
16809,attendu,expected
16810,montez,go up
16811,nouvel,new
16812,pensent,think
16813,génie,genius
16814,sérieusement,seriously
16815,cible,target
16816,prépare,prepared
16817,agir,to act
16818,militaire,military
16819,futur,future
16820,attraper,catch
16821,bal,ball
16822,europe,Europe
16823,californie,California
16824,donnez,give
16825,cousin,cousin
16826,vert,Green
16827,poids,weight
16828,volonté,will
16829,ventre,belly
16830,accepte,accepted
16831,amené,bring
16832,recevoir,receive
16833,inquiétez,worry
16834,perd,lose
16835,autrement,otherwise
16836,informations,information
16837,titre,title
16838,célèbre,famous
16839,couple,couple
16840,sexy,sexy
16841,serons,will be
16842,certaine,certain
16843,parlons,let's talk
16844,star,star
16845,étoiles,stars
16846,rome,Rome
16847,los,the bone
16848,répondu,answered
16849,resté,stay
16850,charmant,charming
16851,puissant,powerful
16852,zéro,zero
16853,genoux,knees
16854,mine,mine
16855,couilles,balls
16856,pilote,pilot
16857,maria,Maria
16858,style,style
16859,ramène,brings back
16860,voulons,want to
16861,embrasser,embrace
16862,amener,to bring
16863,valeur,value
16864,fortune,fortune
16865,reprendre,to resume
16866,revenez,come back
16867,vieil,old
16868,walter,Walter
16869,servi,served
16870,arrivés,arrived
16871,lève,survey
16872,voleur,thief
16873,côtés,sides
16874,chris,Chris
16875,note,note
16876,préféré,favorite
16877,couché,layer
16878,milliers,thousands
16879,aéroport,airport
16880,prévenir,prevent
16881,château,castle
16882,apparemment,apparently
16883,gardez,Keep
16884,privé,private
16885,détails,details
16886,larry,Larry
16887,direct,direct
16888,reposer,to rest
16889,commande,order
16890,cherchez,look
16891,fer,iron
16892,conduit,conduit
16893,conscience,awareness
16894,oreilles,ears
16895,conversation,conversation
16896,regardes,look
16897,joues,play
16898,ennemis,enemies
16899,attendent,wait
16900,article,article
16901,dieux,gods
16902,talent,talent
16903,aise,easy
16904,poulet,chicken
16905,passée,past
16906,comprend,understand
16907,gorge,throat
16908,feras,do
16909,tribunal,court
16910,découvrir,discover
16911,agréable,pleasant
16912,jette,throw
16913,test,test
16914,emmerde,foul
16915,détruit,destroy
16916,nerveux,nervous
16917,saint,Holy
16918,marrant,funny
16919,joindre,join
16920,sentiment,feeling
16921,lance,spear
16922,humaine,human
16923,acte,deed
16924,jane,jane
16925,pis,worse
16926,enculé,fucked
16927,tuée,killed
16928,saura,will know
16929,doigt,finger
16930,pourrez,can
16931,passera,will pass
16932,horreur,horror
16933,comptes,accounts
16934,dernières,latest
16935,violence,violence
16936,fumer,to smoke
16937,invités,guests
16938,parlais,gauge
16939,job,job
16940,salon,living room
16941,défendre,defend
16942,mariés,married
16943,rock,rock
16944,apporter,bring
16945,coupé,cut
16946,repos,rest
16947,paquet,pack
16948,page,page
16949,utilise,used
16950,victimes,victims
16951,sage,wise
16952,aidé,aid
16953,intelligent,clever
16954,ombre,shadow
16955,vache,cow
16956,désert,desert
16957,forêt,forest
16958,parfaite,perfect
16959,tombée,fall
16960,extérieur,outside
16961,entré,between
16962,série,series
16963,concerne,concerned
16964,paroles,words
16965,dira,will say
16966,it,it
16967,champion,champion
16968,fbi,FBI
16969,lundi,Monday
16970,moteur,engine
16971,ouverte,opened
16972,mince,thin
16973,al,Al
16974,russe,Russian
16975,grandi,grown up
16976,rappelles,recall
16977,dormi,sleep
16978,ordinateur,computer
16979,in,in
16980,angeles,Angeles
16981,accepté,accepted
16982,désormais,From now on
16983,acteur,actor
16984,membres,members
16985,trouvée,found
16986,pete,pete
16987,surpris,surprised
16988,miracle,miracle
16989,vole,stolen
16990,manquer,miss
16991,franchement,Frankly
16992,apprécie,appreciate
16993,cigarette,cigarette
16994,chemise,shirt
16995,mark,mark
16996,tente,tent
16997,faisant,doing
16998,billet,ticket
16999,reculez,go back
17000,moyens,means
17001,importante,important
17002,unité,unit
17003,champagne,Champagne
17004,pensait,thought
17005,www,www
17006,partager,share
17007,smith,smith
17008,minuit,midnight
17009,américaine,American
17010,courses,shopping
17011,puissance,power
17012,william,William
17013,nombreux,many
17014,réparer,fix
17015,caché,hidden
17016,haute,high
17017,sommeil,sleep
17018,essence,essence
17019,riches,rich
17020,lac,lake
17021,maire,mayor
17022,mode,fashion
17023,vingt,twenty
17024,reviendra,will come back
17025,pousse,growth
17026,amusant,amusing
17027,passez,pass
17028,services,services
17029,doc,doc
17030,rues,streets
17031,of,of
17032,risques,risks
17033,émission,issue
17034,leçon,lesson
17035,annonce,announcement
17036,plans,plans
17037,usine,factory
17038,louis,Louis
17039,imaginer,imagine
17040,chauffeur,driver
17041,marque,brand
17042,parc,park
17043,épée,sword
17044,fesses,buttocks
17045,échange,exchange
17046,souvenirs,memories
17047,créer,create
17048,senti,felt
17049,signer,sign
17050,artiste,artist
17051,jeté,thrown
17052,réveiller,wake
17053,hiver,winter
17054,également,also
17055,hum,hum
17056,souffle,breath
17057,vrais,real
17058,arbres,trees
17059,saute,jumped up
17060,fuir,flee
17061,meme,even
17062,battu,beaten
17063,permission,permission
17064,casser,to break
17065,chicago,Chicago
17066,allemands,Germans
17067,utilisé,used
17068,mentir,lie
17069,souci,worry
17070,é,e
17071,coûte,cost
17072,paye,paid
17073,tres,very
17074,offert,Free
17075,sir,sir
17076,no,no
17077,chair,flesh
17078,caisse,box
17079,supplie,beg
17080,dégagez,release
17081,raconté,recount
17082,andy,Andy
17083,lunettes,eyeglasses
17084,chouette,owl
17085,menteur,liar
17086,trouvera,will find
17087,semblant,semblance
17088,ignorais,ignorant
17089,perdue,lost
17090,whisky,whiskey
17091,rentrez,come back
17092,premiers,first
17093,pantalon,pants
17094,menace,threat
17095,racontes,tells
17096,douche,shower
17097,oiseaux,birds
17098,finie,finish
17099,auront,will have
17100,débarrasser,rid
17101,membre,member
17102,perte,loss
17103,verrez,will see
17104,front,forehead
17105,lèvres,lips
17106,mai,may
17107,fac,college
17108,allo,Hello
17109,connaissais,knew
17110,gouverneur,governor
17111,monnaie,cash
17112,chou,cabbage
17113,achète,bought
17114,thomas,Thomas
17115,secrétaire,secretary
17116,montré,show
17117,jones,jones
17118,écris,wrote
17119,parlent,talk
17120,chaise,chair
17121,herbe,grass
17122,créé,created
17123,manteau,coat
17124,chocolat,chocolate
17125,pause,break
17126,côte,coast
17127,abandonner,give up
17128,policier,police officer
17129,patient,patient
17130,dave,dave
17131,études,studies
17132,ballon,ball
17133,mène,led
17134,respire,breath
17135,mouvement,movement
17136,suicide,suicide
17137,japonais,Japanese
17138,accès,access
17139,tienne,yours
17140,laisserai,will leave
17141,poupée,doll
17142,innocent,innocent
17143,allés,alleys
17144,identité,identify
17145,véritable,TRUE
17146,simon,Simon
17147,devenue,become
17148,totalement,totally
17149,piège,trap
17150,gloire,glory
17151,pourraient,could
17152,abri,shelter
17153,explique,explain
17154,rapidement,quickly
17155,fonctionne,works
17156,boy,boy
17157,foule,crowd
17158,pensées,thoughts
17159,maisons,houses
17160,fantôme,ghost
17161,source,source
17162,lancer,throw
17163,suit,follows
17164,changement,change
17165,choc,shock
17166,veste,jacket
17167,attaquer,tackle
17168,faveur,favor
17169,oreille,ear
17170,touchez,touch
17171,malheureusement,Unfortunately
17172,soudain,suddenly
17173,tués,You are
17174,bref,Short
17175,malheur,misfortune
17176,portable,portable
17177,chaleur,heat
17178,mensonge,lie
17179,répondez,answer
17180,heureusement,Fortunately
17181,emploi,job
17182,lois,laws
17183,nettoyer,to clean
17184,attrape,caught
17185,geste,gesture
17186,verrai,will see
17187,notes,notes
17188,plat,flat
17189,etait,was
17190,corde,rope
17191,sacrée,sacred
17192,cherches,looking for
17193,siècle,century
17194,etat,state
17195,distance,distance
17196,refusé,denied
17197,mars,March
17198,saison,season
17199,bel,beautiful
17200,monté,mounted
17201,idiote,idiot
17202,recherches,research
17203,alerte,alert
17204,ennuie,bored
17205,christ,Christ
17206,remonte,traced back
17207,plaisante,pleasant
17208,city,City
17209,bat,bat
17210,images,images
17211,voulaient,wanted
17212,titres,securities
17213,alice,Alice
17214,couverture,blanket
17215,moments,moments
17216,big,big
17217,mesure,measure
17218,atteindre,reach
17219,singe,monkey
17220,pistolet,gun
17221,frontière,border
17222,réel,real
17223,réfléchi,thoughtful
17224,somme,sum
17225,agents,agents
17226,ours,bear
17227,prisonniers,prisoners
17228,évidemment,obviously
17229,afrique,Africa
17230,allemand,German
17231,dan,dan
17232,couche,layer
17233,relations,relations
17234,texas,Texas
17235,delà,of the
17236,celles,those
17237,navire,ship
17238,deviens,become
17239,bite,cock
17240,laisses,leave
17241,dirige,directed
17242,partenaire,partner
17243,aube,dawn
17244,demi,half
17245,affreux,awful
17246,camarade,comrade
17247,street,street
17248,inquiéter,worry
17249,tableau,painting
17250,fatiguée,tired
17251,entreprise,business
17252,demandes,requests
17253,nana,girl
17254,re,D
17255,coincé,stuck
17256,tenu,tenuous
17257,viré,fired
17258,suspect,suspicious
17259,reconnais,recognize
17260,ressens,feeling
17261,juif,Jewish
17262,directement,directly
17263,mexique,Mexico
17264,cherché,look for
17265,marine,Marine
17266,prisonnier,prisoner
17267,finit,finished
17268,howard,Howard
17269,étoile,star
17270,jean,Jeans
17271,convaincre,convince
17272,filer,spin
17273,kevin,kevin
17274,bosse,bump
17275,pousser,push
17276,protection,protection
17277,signé,sign
17278,crier,shout
17279,rêvé,dream
17280,respirer,breathe
17281,propriétaire,owner
17282,prêtre,priest
17283,donnes,data
17284,taire,to hush up
17285,permettre,allow
17286,prudent,careful
17287,carl,carl
17288,commis,clerk
17289,chaîne,chain
17290,copains,friends
17291,sec,dry
17292,cauchemar,nightmare
17293,laver,wash
17294,hollywood,Hollywood
17295,jeff,Jeff
17296,réfléchis,reflected
17297,trompe,deceived
17298,hais,haz
17299,immeuble,building
17300,supporter,support
17301,soi,self
17302,bagages,luggage
17303,tir,shot
17304,traverser,to cross
17305,commissaire,commissioner
17306,mac,mac
17307,donnerai,will give
17308,reviendrai,will come back
17309,larmes,tears
17310,déranger,bother
17311,Arthur,Arthur
17312,pigé,pig
17313,réserve,reserve
17314,adam,Adam
17315,volant,flying
17316,uniforme,uniform
17317,st,st
17318,croient,believe
17319,différents,different
17320,souffrir,suffer
17321,maudit,damn
17322,valise,suitcase
17323,prendrai,will take
17324,assurance,assurance
17325,abandonné,abandoned
17326,dames,ladies
17327,lendemain,the following day
17328,navré,heartbroken
17329,prennent,takes
17330,sénateur,senator
17331,roule,rolled
17332,montagnes,mountains
17333,lapin,rabbit
17334,juifs,Jews
17335,amuse,amused
17336,espérais,hoped
17337,fleur,flower
17338,merveilleuse,marvelous
17339,tournée,tour
17340,scott,scott
17341,information,information
17342,foyer,foyer
17343,tourné,turned
17344,personnage,character
17345,permettez,Allow
17346,amitié,friendship
17347,hâte,haste
17348,opinion,opinion
17349,curieux,curious
17350,concert,concert
17351,enfance,childhood
17352,extraordinaire,extraordinary
17353,davantage,any further
17354,saviez,knew
17355,chargé,charge
17356,porc,pork
17357,recommence,start again
17358,chèque,check
17359,piano,piano
17360,jouez,play
17361,océan,ocean
17362,ayant,having
17363,go,go
17364,pattes,paws
17365,ravie,stunned
17366,trace,trace
17367,réveillé,wake up
17368,miles,miles
17369,soupe,soup
17370,sucre,sugar
17371,écoutes,listen
17372,vierge,virgin
17373,mauvaises,bad
17374,objet,object
17375,adorable,adorable
17376,chine,China
17377,sonne,sound
17378,envoyez,send
17379,réputation,reputation
17380,kate,kate
17381,sport,sport
17382,brave,brave
17383,lieux,places
17384,brûle,burn
17385,russes,Russian
17386,murs,walls
17387,second,second
17388,etes,are
17389,facilement,easily
17390,troupes,troops
17391,titrage,titration
17392,canon,cannon
17393,bague,ring
17394,bâtiment,building
17395,seraient,would be
17396,cellule,cell
17397,Susan,Susan
17398,survivre,survive
17399,trouverai,will find
17400,printemps,spring
17401,voisins,neighbors
17402,nuits,nights
17403,chances,odds
17404,contrôler,control
17405,compliqué,complicated
17406,voyais,saw
17407,retirer,to withdraw
17408,ancienne,Ancient
17409,théorie,theory
17410,avancez,Advance
17411,studio,studio
17412,exploser,explode
17413,explosion,blast
17414,fiancée,fiancee
17415,évident,obvious
17416,gardé,guard
17417,accusé,accused
17418,Annie,Annie
17419,témoins,witnesses
17420,désir,desire
17421,humanité,humanity
17422,amen,Amen
17423,magie,magic
17424,restera,will stay
17425,palais,palace
17426,cirque,circus
17427,cinglé,crazy
17428,conduis,driven
17429,sales,dirty
17430,traces,traces
17431,station,station
17432,construire,build
17433,joey,Joey
17434,siège,seat
17435,Kelly,Kelly
17436,semblait,seemed
17437,vivants,living
17438,voient,see
17439,représente,represented
17440,sombre,dark
17441,lourd,heavy
17442,lá,there
17443,familles,families
17444,égal,equal
17445,surveille,watched
17446,terme,term
17447,gêne,embarrassed
17448,poule,chicken
17449,pére,father
17450,devraient,should
17451,soif,thirsty
17452,haine,hate
17453,Rachel,Rachel
17454,Jason,Jason
17455,surveiller,to watch
17456,ted,ted
17457,marin,marine
17458,procureur,prosecutor
17459,traité,treaty
17460,vivent,live
17461,chansons,songs
17462,souvenez,remember
17463,entière,whole
17464,résultat,result
17465,préparé,prepared
17466,top,top
17467,enchantée,Nice to meet you
17468,gardien,guardian
17469,traite,treaty
17470,avancer,to advance
17471,commun,commmon
17472,pêche,fishing
17473,tien,yours
17474,posé,laid
17475,libérer,release
17476,gamins,kids
17477,taule,jail
17478,retournez,return
17479,médicaments,medications
17480,matériel,material
17481,crâne,skull
17482,région,region
17483,débile,stupid
17484,science,science
17485,délicieux,delicious
17486,privée,private
17487,créature,creature
17488,ho,ho
17489,ed,ED
17490,king,King
17491,liquide,liquid
17492,réglé,rule
17493,gay,gay
17494,apprend,learn
17495,quant,as to
17496,péché,fishing
17497,répéter,repeat
17498,auprès,with
17499,tâche,stain
17500,devine,guess
17501,mener,carry out
17502,vente,sale
17503,plu,enjoyed
17504,joueur,player
17505,modèle,model
17506,aurons,will have
17507,up,up
17508,mensonges,lies
17509,fermez,close
17510,traiter,to treat
17511,secteur,sector
17512,soyons,let's be
17513,barre,rod
17514,appelée,called
17515,projets,projects
17516,roman,novel
17517,veille,day before
17518,étudier,to study
17519,tenue,outfit
17520,physique,physical
17521,passait,passed
17522,concours,competition
17523,jaune,YELLOW
17524,inconnu,unknown
17525,victor,Victor
17526,vision,vision
17527,black,black
17528,lentement,slowly
17529,surface,surface
17530,dick,dick
17531,com,com
17532,matt,matt
17533,kilomètres,kilometers
17534,baise,fuck
17535,x,X
17536,sers,serve
17537,abandonne,abandoned
17538,vivante,alive
17539,spéciale,special
17540,prof,teacher
17541,poissons,Pisces
17542,bosser,work
17543,cherchais,sought
17544,my,my
17545,empire,empire
17546,cigarettes,cigarettes
17547,amies,friends
17548,aventure,adventure
17549,responsabilité,responsibility
17550,sauve,Safe
17551,devrions,should
17552,lucy,Lucy
17553,atteint,hit
17554,infirmière,nurse
17555,humeur,mood
17556,descendez,Go down
17557,résultats,results
17558,tenté,tent
17559,baisse,decrease
17560,mn,mn
17561,rare,rare
17562,empreintes,fingerprints
17563,proches,relatives
17564,sauvage,savage
17565,virer,fire
17566,fumée,smoke
17567,lisa,lisa
17568,engagé,engaged
17569,romantique,romantic
17570,cloche,Bell
17571,brian,brian
17572,magique,Magic
17573,chers,Dear
17574,comité,committee
17575,choisis,choose
17576,voila,There
17577,jaloux,jealous
17578,divorce,divorce
17579,lord,lord
17580,données,data
17581,détective,detective
17582,rouges,red
17583,fred,fred
17584,ambulance,ambulance
17585,rentrée,back to school
17586,port,port
17587,anne,Anne
17588,roy,roy
17589,cochon,pig
17590,enfuir,escape
17591,devra,will have to
17592,francisco,Francisco
17593,ménage,household
17594,roger,Roger
17595,particulier,particular
17596,journaliste,journalist
17597,croix,cross
17598,pareille,likely
17599,royaume,kingdom
17600,disparaître,disappear
17601,jus,juice
17602,comte,county
17603,sainte,holy
17604,soucis,worry
17605,allemagne,Germany
17606,patience,patience
17607,fallu,owed
17608,net,net
17609,suivez,follow
17610,panique,panic
17611,q,q
17612,morceaux,parts
17613,construit,built
17614,crédit,credit
17615,rater,to fail
17616,normale,normal
17617,attendait,was waiting
17618,bye,bye
17619,fromage,cheese
17620,embrasse,kiss
17621,complet,complete
17622,bouffe,food
17623,boutique,shop
17624,seriez,would be
17625,recommencer,restart
17626,scénario,script
17627,jeudi,THURSDAY
17628,endroits,locations
17629,brûler,burn
17630,nommé,appointed
17631,mardi,Tuesday
17632,hall,lobby
17633,réalisé,accomplished
17634,terry,Terry
17635,passion,passion
17636,enlevé,removed
17637,profond,deep
17638,télévision,television
17639,abruti,jerk
17640,réussir,succeed
17641,répond,respond
17642,red,red
17643,emmené,taken
17644,cadeaux,gifts
17645,remonter,go back up
17646,accompagner,to accompany
17647,johnson,johnson
17648,différente,different
17649,tromper,deceive
17650,pot,jar
17651,lien,link
17652,serpent,snake
17653,imaginez,Imagine
17654,excusez,Excuse
17655,trompé,deceived
17656,cadavre,corpse
17657,bouton,button
17658,cancer,cancer
17659,descend,descend
17660,centaines,hundreds
17661,poussière,dust
17662,piscine,pool
17663,entraînement,coaching
17664,terminée,finished
17665,tapis,carpet
17666,esprits,spirits
17667,phil,phil
17668,inviter,invite
17669,œuvre,work
17670,imagination,imagination
17671,chut,hush
17672,park,park
17673,existence,existence
17674,empereur,emperor
17675,décide,decided
17676,eric,Eric
17677,ascenseur,elevator
17678,criminel,criminal
17679,révolution,revolution
17680,principal,major
17681,terres,lands
17682,charmante,charming
17683,promesse,promise
17684,période,period
17685,craint,fear
17686,croyait,believed
17687,courrier,mail
17688,récemment,recently
17689,écran,screen
17690,anciens,ancient
17691,cris,cries
17692,passes,passes
17693,combattre,combat
17694,réveille,wake up
17695,feront,will do
17696,élevé,pupil
17697,têtes,heads
17698,souffre,suffer
17699,quiconque,anyone
17700,malheureux,unfortunate
17701,césar,Caesar
17702,arrives,arrival
17703,empêche,stop
17704,brisé,broken
17705,garage,garage
17706,russie,Russia
17707,Jackson,Jackson
17708,bêtes,beasts
17709,tenter,to attempt
17710,excellente,excellent
17711,passent,pass
17712,ferez,will be
17713,pub,pub
17714,logique,logic
17715,version,version
17716,permet,allow
17717,parte,part
17718,temple,temple
17719,section,section
17720,rythme,pace
17721,propriété,property
17722,étrangers,foreigners
17723,finis,finish
17724,erreurs,errors
17725,feriez,would do
17726,propose,propose
17727,examen,review
17728,nation,nation
17729,approchez,approach
17730,différentes,different
17731,traduction,translation
17732,reconnu,recognized
17733,cap,cap
17734,meurtres,murders
17735,courageux,brave
17736,profiter,to profit from
17737,juré,sworn
17738,miel,Honey
17739,poil,hair
17740,rapports,reports
17741,chic,chic
17742,fonds,funds
17743,aimerait,would like
17744,sable,sand
17745,lutte,struggle
17746,fière,proud
17747,is,is
17748,japon,Japan
17749,douze,twelve
17750,labo,lab
17751,ya,ya
17752,agence,agency
17753,cependant,However
17754,indiens,Indian
17755,donnera,will give
17756,restent,remain
17757,ceinture,belt
17758,seins,tits
17759,étonnant,amazing
17760,uns,some
17761,nourrir,to feed
17762,inventé,invented
17763,sérieuse,serious
17764,ment,is lying
17765,pratique,convenient
17766,invite,guest
17767,potes,friends
17768,meurtrier,murderer
17769,vegas,vegas
17770,idéal,ideal
17771,maîtresse,mistress
17772,central,central
17773,fume,smoke
17774,équipage,crew
17775,brillant,bright
17776,trouvent,find
17777,crie,calls out
17778,laura,laura
17779,commission,commission
17780,nager,swim
17781,boit,drinking
17782,bombes,bombs
17783,figure,figure
17784,revolver,revolver
17785,crème,cream
17786,rat,rat
17787,tempête,storm
17788,refaire,redo
17789,née,born
17790,supporte,support
17791,crever,die
17792,conduite,conduct
17793,lci,lci
17794,brown,brown
17795,pure,pure
17796,traitement,treatment
17797,porté,door
17798,voyait,saw
17799,cabine,cabin
17800,fuite,leak
17801,nationale,national
17802,estomac,stomach
17803,machines,machines
17804,julie,julie
17805,couloir,corridor
17806,emily,Emily
17807,ouah,Wow
17808,bijoux,jewelry
17809,lâcher,let go
17810,acteurs,actors
17811,sentez,feel
17812,couleurs,colors
